,FID,Id,SPECIES,DATEPLANT,Latitude,Longitude,Rootspace,nearest_st,tree_heigh,tree_sprea,Diameter_a,condition,tree_def_1,tree_def_2,are_over_h,tree_care_,tree_asset,age_class,collected_,date_of_in,inspected,parent,families,parent_name
0,0,0,MALUS 'REDBUD',2016,42.6933239,-71.14921983, ,,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,MALUS,Rosaceae
1,1,0,MALUS 'REDBUD',2016,42.69329308,-71.14916501, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,MALUS,Rosaceae
2,2,0,MALUS 'REDBUD',2016,42.69329867,-71.14944508, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,MALUS,Rosaceae
3,3,0,MALUS 'REDBUD',2016,42.6932696,-71.14948288, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,MALUS,Rosaceae
4,4,0,MALUS 'REDBUD',2016,42.69326766,-71.14954238, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,MALUS,Rosaceae
5,5,0,ACER RUBRUM ARMSTRONG,2016,42.69348549,-71.14837597, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
6,6,0,ACER RUBRUM ARMSTRONG,2016,42.69354538,-71.14840014, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
7,7,0,ACER RUBRUM ARMSTRONG,2016,42.69360522,-71.14841043, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
8,8,0,ACER RUBRUM ARMSTRONG,2016,42.69367433,-71.14841905, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
9,9,0,ACER RUBRUM ARMSTRONG,2016,42.69373393,-71.14842868, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
10,10,0,ACER RUBRUM ARMSTRONG,2016,42.69379586,-71.14843734, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
11,11,0,ACER RUBRUM ARMSTRONG,2016,42.69392407,-71.14845205, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
12,12,0,ACER RUBRUM ARMSTRONG,2016,42.69385946,-71.14843824, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
13,13,0,LIRIODENDRON TULIPIFERA,2016,42.69432261,-71.14871069, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
14,14,0,LIRIODENDRON TULIPIFERA,2016,42.69427243,-71.1487753, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
15,15,0,LIRIODENDRON TULIPIFERA,2016,42.69420695,-71.14882066, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
16,16,0,LIRIODENDRON TULIPIFERA,2016,42.69411508,-71.14893918, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
17,17,0,LIRIODENDRON TULIPIFERA,2016,42.69408528,-71.14884859, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIRIODENDRON,Magnoliaceae
18,18,0,LIQUIDAMBAR STYRACIFULA 'HAPPIDAZE',2016,42.69401075,-71.14876817, , ,15 to 20,15 to 20,4.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
