,families,FID,Id,Diameter_a,count
0,ACER,405.5176470588235,0.0,2.988235294117647,85
1,AESCULUS,174.0,0.0,3.5,5
2,AMELANCHIER,729.5555555555555,0.0,2.2777777777777777,18
3,BETULA,436.5,0.0,2.9615384615384617,26
4,CARPINUS,395.0,0.0,2.75,2
5,CELTIS,336.1764705882353,0.0,3.1176470588235294,17
6,CERCIS,391.90909090909093,0.0,2.8636363636363638,11
7,CLADASTRIS,28.5,0.0,4.0,4
8,CLADRASTIS,122.83333333333333,0.0,3.5,12
9,CORNUS,294.38461538461536,0.0,3.0,13
10,CRETAEGUS,439.0,0.0,3.0,1
11,CRYLUS,229.5,0.0,3.0,4
12,FAGUS,291.5,0.0,3.0,2
13,GINKGO,470.14285714285717,0.0,2.8214285714285716,14
14,GLEDITSIA,481.9586776859504,0.0,2.8181818181818183,121
15,GYMNOCLADUS,242.23529411764707,0.0,3.3823529411764706,17
16,HAMAMELIS,862.0,0.0,2.0,15
17,JUNIPERUS,207.0,0.0,3.0,1
18,LIQUIDAMABAR,531.0,0.0,3.0,1
19,LIQUIDAMBAR,463.1777777777778,0.0,2.888888888888889,45
20,LIRIODENDRON,231.72222222222223,0.0,3.5,18
21,MAACKIA,645.4705882352941,0.0,2.5294117647058822,17
22,MAAKIA,605.5,0.0,2.5,2
23,MACLURA,742.25,0.0,2.0,4
24,MALUS,644.64,0.0,2.4,25
25,METASEQUOIA,37.0,0.0,4.0,6
26,METASEQUUOIA,514.0,0.0,3.0,1
27,NYSSA,512.6666666666666,0.0,2.7777777777777777,9
28,OSTRYA,460.5,0.0,3.0,2
29,OXYDENDRUM,317.0,0.0,3.0,2
30,PARROTIA,555.6666666666666,0.0,2.75,6
31,PLANTUS,395.0,0.0,3.0,11
32,PLATANUS,320.8,0.0,3.191666666666667,60
33,PRUNIS,751.0,0.0,2.0,1
34,PRUNUS,508.27272727272725,0.0,2.75,22
35,PRYUS,58.0,0.0,4.0,1
36,QUERCUS,473.1066666666667,0.0,2.7533333333333334,75
37,STYPHNOLOBIUM,102.0,0.0,3.5,3
38,STYRAX,449.3333333333333,0.0,3.0,3
39,SYRINGA,548.3695652173913,0.0,2.5543478260869565,46
40,SYRINGIA,570.5,0.0,2.5,2
41,TAXODIUM,493.8235294117647,0.0,2.7941176470588234,17
42,TILIA,448.43243243243245,0.0,2.77027027027027,37
43,ULMUS,398.8735632183908,0.0,2.971264367816092,87
44,ZELKOVA,526.05,0.0,2.625,20
